,text,label,Stocks,Earnings Report,Company/Stock Evaluation,Market Info
0,$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,0,0.0,0.08983658427252347,0.3614573916636814,0.5487060240637951
1,$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,0,0.19037226724401654,0.0,0.0,0.8096277327559835
2,"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",0,0.13324586551628845,0.047038716630260484,0.13862537752566345,0.6810900403277876
3,$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N,0,0.20070165421549324,0.0,0.054304743237900466,0.7449936025466063
4,$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,0,0.20881234978444796,0.0,0.06755010519746257,0.7236375450180894
5,$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU,0,0.08872846207049782,0.8253132092542024,0.0,0.08595832867529986
6,$GM - GM loses a bull https://t.co/tdUfG5HbXy,0,0.0,0.0,0.0,1.0
7,$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS,0,0.2290724274199775,0.06498473246635807,0.037841577688849576,0.6681012624248148
8,$GTT: Cowen cuts to Market Perform,0,0.0,0.0,0.0,1.0
9,$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS,0,0.11334076558512694,0.050480284767458326,0.25923116780921185,0.5769477818382028
10,$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU,0,0.0,0.0,0.0,1.0
11,"$HXL - Citing aero ties, Wells slashes PT on Hexcel https://t.co/wU5P2i8WBU",0,0.2107995608353635,0.0,0.11736341088483832,0.6718370282797981
12,$I - Intelsat cut to Market Perform at Raymond James https://t.co/YsvsMSQRIb,0,0.0,0.0,0.0,1.0
13,$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N,0,0.15695816230476098,0.0,0.037719808237544804,0.8053220294576943
14,$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG,0,0.11100034638220516,0.04988448366592821,0.15214296578045172,0.6869722041714149
15,$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ,0,0.1567572100629052,0.13173986350697517,0.08065296061365025,0.6308499658164695
16,$MDCO: Oppenheimer cuts to Perform,0,0.20702420788986142,0.0,0.048337763594548916,0.7446380285155897
17,$MPLX $MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review https://t.co/0BFQy4ZU6W,0,0.13356177212335024,0.0014562356752600989,0.10962721541365666,0.7553547767877331
18,$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8,0,0.21427288554059928,0.2629373211151162,0.18767874354067612,0.33511104980360845
19,$MTLS - Piper hits the Materialise sidelines https://t.co/qlFxZuhkrt,0,0.06454639713455455,0.0,0.030528151545904603,0.9049254513195408
20,$NCBS: Hovde Group cuts to Market Perform,0,0.0,0.0,0.007584715876165772,0.9924152841238343
21,$NFLX - New Netflix bear steps out https://t.co/PdPkgLk0FQ,0,0.0,0.0,0.021147104835754185,0.9788528951642458
22,$SHOP - Shopify loses a bull https://t.co/eoq7Lchtk4,0,0.0,0.0,0.0,1.0
23,$STAY - Nomura Instinet loses confidence in Extended Stay America https://t.co/WrQXTC38nB,0,0.15771958771695183,0.013356821220905566,0.0,0.8289235910621425
24,$TWLO - Twilio gets Street-low target on virus risk https://t.co/Ky3d8DxnjX,0,0.3351124447017518,0.0707901796918531,0.08062532391021855,0.5134720516961765
25,$VCLT $SPLB $IGLB - Guggenheim's Minerd sees more gloom ahead in stocks https://t.co/NKYQgy2o3J,0,0.9962104554735497,0.0,0.00042815097494363995,0.0033613935515068097
26,$VIAC $VIACA $FOX - MoffettNathanson expects NFL TV costs to skyrocket https://t.co/APfxEqSSRF,0,0.07018976699001542,0.020281675275881598,0.08034191109636264,0.8291866466377404
27,$VIAC: Barrington Research cuts to Mkt Perform https://t.co/7Fv1ZiFZBS,0,0.15401147688650874,0.0,0.04213793628795606,0.8038505868255353
28,$XLNX - Mizuho cuts XLNX target on near-term headwinds https://t.co/hsWCvJb1Ct,0,0.5944317762764345,0.0,0.12335102883787519,0.28221719488569036
29,2U downgraded to sector weight from overweight at KeyBanc Capital,0,0.17259506751755813,0.0824719503659996,0.12016218270050281,0.6247707994159395
30,Alphabet and Facebook price targets cut at Barclays on weaker ad outlook https://t.co/PlbSaE1Nc2,0,0.5782600840213198,0.013917131390505533,0.15925183643235624,0.2485709481558184
31,AMC Networks price target cut to $35 from $39 at Imperial Capital,0,0.6137784626037551,0.0,0.14778366681733687,0.23843787057890792
32,American Software downgraded to neutral from buy at B. Riley FBR,0,0.6262445129735849,0.0,0.09631891350162611,0.277436573524789
33,Analysts question Silicon Motion's margin outlook,0,0.0006324525181320724,0.2827256124915693,0.3845162924684682,0.3321256425218304
